Date,Close/Last,Volume,Open,High,Low
05/28/2019,$15.81,3642322,$15.39,$15.94,$15.39
05/29/2019,$16.29,2525725,$15.8,$16.29,$15.49
05/30/2019,$15.77,10071790,$15.92,$15.99,$14.9
05/31/2019,$15.17,5425140,$15.4,$15.4,$14.56
06/03/2019,$15.71,2532821,$15.09,$15.77,$14.97
06/04/2019,$15.97,2759127,$15.92,$16.29,$15.81
06/05/2019,$15.92,2344938,$16,$16.11,$15.52
06/06/2019,$15.68,3333140,$15.95,$16.0599,$15.53
06/07/2019,$16.36,3386892,$15.71,$16.87,$15.71
06/10/2019,$16.19,3248606,$16.78,$16.85,$16.1
06/11/2019,$17.07,4033027,$16.41,$17.15,$16.27
06/12/2019,$17.08,4271708,$17.22,$17.545,$17.01
06/13/2019,$17.51,4329741,$17.5,$17.68,$16.71
06/14/2019,$17.33,2648122,$17.41,$17.48,$17
06/17/2019,$17.75,2866643,$17.46,$17.7875,$17.145
06/18/2019,$18.8,4731938,$17.95,$19.13,$17.92
06/19/2019,$18.63,4293879,$19.01,$19.06,$18
06/20/2019,$18.4,3349676,$18.4,$18.74,$18.15
06/21/2019,$17.64,3101174,$18.22,$18.3,$17.63
06/24/2019,$17.49,2626685,$17.65,$18.299,$17.46
06/25/2019,$16.29,4261840,$17.42,$17.47,$16.15
06/26/2019,$16.79,2455542,$16.4,$16.94,$16.32
06/27/2019,$17.92,2712902,$16.91,$18.07,$16.9
06/28/2019,$18.23,6928834,$17.96,$18.28,$17.64
07/01/2019,$18.3,3409767,$18.8,$18.88,$18.15
07/02/2019,$18.56,1980883,$18.25,$18.6592,$17.96
07/03/2019,$18.97,1891196,$18.67,$19.23,$18.67
07/05/2019,$19.64,2474262,$19.01,$19.715,$18.56
07/08/2019,$19.97,3775275,$19.63,$20.18,$19.28
07/09/2019,$20.42,3685233,$20,$20.59,$19.86
07/10/2019,$19.89,4919003,$20.58,$20.67,$19.09
07/11/2019,$19.48,4329769,$20.005,$20.37,$19.22
07/12/2019,$19.67,3275540,$19.57,$19.93,$19.32
07/15/2019,$19.66,2479014,$19.82,$19.9,$19.28
07/16/2019,$20.35,3761389,$19.72,$20.5856,$19.52
07/17/2019,$20.19,2310621,$20.31,$20.54,$20.1
07/18/2019,$20.66,5944266,$20.15,$20.77,$20.03
07/19/2019,$20.81,3346096,$20.72,$21.17,$20.58
07/22/2019,$21.26,3009896,$21.03,$21.28,$20.68
07/23/2019,$19.65,5561604,$21.38,$21.5143,$19.14
07/24/2019,$20.02,2537716,$19.65,$20.0739,$19.36
07/25/2019,$19.8,2602616,$20.45,$20.46,$19.72
07/26/2019,$20.8,3104594,$19.89,$20.84,$19.8
07/29/2019,$21.2,3592812,$21,$21.32,$20.14
07/30/2019,$21.65,5147104,$21,$21.7,$20.7
07/31/2019,$28.15,22313410,$26.31,$28.93,$26.29
08/01/2019,$30.1,11806000,$28.58,$31.165,$28.2
08/02/2019,$29.12,6600289,$29.49,$29.89,$28.35
